"BehaviorSpace results (NetLogo 6.2.1)"
"VillagesCentralidades.nlogo"
"VillageCentralidad"
"09/07/2022 13:27:17:692 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","num-semillas","tipo-semillas","[step]","ticks"
"236","3","degree","44","44"
"239","3","degree","53","53"
"238","3","degree","73","73"
"237","3","degree","69","69"
"242","3","degree","74","74"
"241","3","degree","56","56"
"244","3","degree","62","62"
"245","3","degree","59","59"
"240","3","degree","111","111"
"243","3","degree","114","114"
"247","3","degree","60","60"
"246","3","degree","101","101"
"249","3","degree","79","79"
"252","3","degree","41","41"
"248","3","degree","88","88"
"250","3","degree","74","74"
"251","3","degree","93","93"
"255","3","degree","85","85"
"254","3","degree","76","76"
"253","3","degree","139","139"
"256","3","degree","80","80"
"258","3","degree","81","81"
"257","3","degree","60","60"
"261","3","degree","50","50"
"260","3","degree","82","82"
"259","3","degree","135","135"
"266","3","degree","43","43"
"262","3","degree","80","80"
"263","3","degree","62","62"
"265","3","degree","69","69"
"264","3","degree","87","87"
"267","3","degree","65","65"
"271","3","degree","51","51"
"269","3","degree","70","70"
"268","3","degree","84","84"
"273","3","degree","63","63"
"270","3","degree","60","60"
"274","3","degree","33","33"
"272","3","degree","100","100"
"275","3","degree","68","68"
"277","3","degree","55","55"
"279","3","degree","58","58"
"276","3","degree","45","45"
"278","3","degree","62","62"
"280","3","degree","67","67"
"283","3","degree","63","63"
"281","3","degree","84","84"
"282","3","degree","75","75"
"284","3","degree","59","59"
"286","3","degree","50","50"
"287","3","degree","65","65"
"285","3","degree","87","87"
"289","3","degree","46","46"
"290","3","degree","56","56"
"292","3","degree","62","62"
"291","3","degree","76","76"
"293","3","degree","66","66"
"294","3","degree","84","84"
"288","3","degree","153","153"
"296","3","degree","65","65"
"295","3","degree","80","80"
"299","3","degree","59","59"
"297","3","degree","69","69"
"298","3","degree","86","86"
"300","3","degree","65","65"
"303","3","degree","53","53"
"304","3","degree","65","65"
"302","3","degree","65","65"
"301","3","degree","78","78"
"306","3","degree","42","42"
"305","3","degree","84","84"
"309","3","degree","35","35"
"308","3","degree","62","62"
"310","3","degree","39","39"
"307","3","degree","98","98"
"312","3","degree","45","45"
"313","3","degree","50","50"
"316","3","degree","36","36"
"311","3","degree","99","99"
"314","3","degree","92","92"
"317","3","degree","90","90"
"315","3","degree","99","99"
"320","3","degree","55","55"
"322","3","degree","73","73"
"318","3","degree","118","118"
"319","3","degree","100","100"
"321","3","degree","101","101"
"323","3","degree","69","69"
"325","3","degree","67","67"
"324","3","degree","78","78"
"326","3","degree","68","68"
"328","3","degree","52","52"
"329","3","degree","61","61"
"327","3","degree","82","82"
"330","3","degree","73","73"
"333","3","degree","33","33"
"332","3","degree","65","65"
"334","3","degree","75","75"
"336","3","degree","41","41"
"335","3","degree","64","64"
"337","3","degree","49","49"
"338","3","degree","51","51"
"339","3","degree","58","58"
"340","3","degree","54","54"
"331","3","degree","168","168"
"341","3","degree","71","71"
"343","3","degree","57","57"
"342","3","degree","83","83"
"347","3","degree","50","50"
"344","3","degree","73","73"
"346","3","degree","87","87"
"348","3","degree","75","75"
"345","3","degree","147","147"
"349","3","degree","107","107"
"351","3","degree","80","80"
"352","3","degree","92","92"
"354","3","degree","64","64"
