"BehaviorSpace results (NetLogo 6.2.1)"
"VillagesCentralidadesConLímite.nlogo"
"VillageLímite"
"09/07/2022 13:43:17:887 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","tipo-semillas","límite","[step]","count turtles with [color = red]"
"220","eigen","10","10","122"
"221","eigen","10","10","120"
"218","eigen","10","10","128"
"223","eigen","10","10","127"
"219","eigen","10","10","113"
"222","eigen","10","10","112"
"224","eigen","10","10","127"
"225","eigen","10","10","122"
"226","eigen","10","10","134"
"228","eigen","10","10","114"
"227","eigen","10","10","128"
"229","eigen","10","10","131"
"230","eigen","10","10","109"
"231","eigen","10","10","114"
"232","eigen","10","10","118"
"233","eigen","10","10","132"
"234","eigen","10","10","126"
"235","eigen","10","10","112"
"236","eigen","10","10","117"
"237","eigen","10","10","124"
"238","eigen","10","10","130"
"239","eigen","10","10","123"
"240","eigen","10","10","126"
"241","eigen","10","10","126"
"243","eigen","10","10","128"
"245","eigen","10","10","122"
"242","eigen","10","10","117"
"246","eigen","10","10","132"
"244","eigen","10","10","122"
"248","eigen","10","10","125"
"247","eigen","10","10","123"
"250","eigen","10","10","119"
"249","eigen","10","10","131"
"251","eigen","10","10","135"
"252","eigen","10","10","123"
"254","eigen","10","10","127"
"256","eigen","10","10","127"
"253","eigen","10","10","132"
"255","eigen","10","10","130"
"257","eigen","10","10","122"
"260","eigen","10","10","128"
"259","eigen","10","10","124"
"261","eigen","10","10","105"
"258","eigen","10","10","120"
"265","eigen","10","10","127"
"262","eigen","10","10","132"
"264","eigen","10","10","123"
"266","eigen","10","10","121"
"267","eigen","10","10","123"
"263","eigen","10","10","116"
"268","eigen","10","10","123"
"271","eigen","10","10","119"
"270","eigen","10","10","124"
"269","eigen","10","10","134"
"272","eigen","10","10","121"
"273","eigen","10","10","127"
"274","eigen","10","10","118"
"276","eigen","10","10","128"
"275","eigen","10","10","113"
"277","eigen","10","10","121"
"278","eigen","10","10","129"
"279","eigen","10","10","129"
"282","eigen","10","10","122"
"281","eigen","10","10","140"
"280","eigen","10","10","122"
"285","eigen","10","10","112"
"283","eigen","10","10","128"
"284","eigen","10","10","132"
"286","eigen","10","10","131"
"288","eigen","10","10","119"
"287","eigen","10","10","133"
"291","eigen","10","10","125"
"289","eigen","10","10","128"
"293","eigen","10","10","130"
"292","eigen","10","10","128"
"290","eigen","10","10","121"
"295","eigen","10","10","122"
"296","eigen","10","10","135"
"294","eigen","10","10","131"
"297","eigen","10","10","124"
"300","eigen","10","10","131"
"299","eigen","10","10","126"
"301","eigen","10","10","130"
"303","eigen","10","10","125"
"298","eigen","10","10","129"
"304","eigen","10","10","128"
"302","eigen","10","10","124"
"305","eigen","10","10","135"
"306","eigen","10","10","125"
"308","eigen","10","10","131"
"312","eigen","10","10","136"
"311","eigen","10","10","130"
"309","eigen","10","10","127"
"310","eigen","10","10","139"
"307","eigen","10","10","124"
"313","eigen","10","10","118"
"318","eigen","10","10","127"
"316","eigen","10","10","112"
"317","eigen","10","10","130"
"319","eigen","10","10","126"
"314","eigen","10","10","114"
"320","eigen","10","10","126"
"315","eigen","10","10","139"
"321","eigen","10","10","120"
"323","eigen","10","10","136"
"325","eigen","10","10","124"
"326","eigen","10","10","132"
"322","eigen","10","10","124"
"324","eigen","10","10","134"
"328","eigen","10","10","123"
"329","eigen","10","10","123"
"327","eigen","10","10","134"
"330","eigen","10","10","111"
"332","eigen","10","10","122"
"331","eigen","10","10","124"
"333","eigen","10","10","122"
"334","eigen","10","10","127"
"336","eigen","10","10","120"
"337","eigen","10","10","116"
"335","eigen","10","10","121"
"338","eigen","10","10","130"
"339","eigen","10","10","121"
"340","eigen","10","10","134"
"341","eigen","10","10","135"
"343","eigen","10","10","125"
"342","eigen","10","10","114"
"345","eigen","10","10","113"
"344","eigen","10","10","129"
"346","eigen","10","10","115"
"347","eigen","10","10","124"
"348","eigen","10","10","124"
"349","eigen","10","10","123"
"350","eigen","10","10","124"
"351","eigen","10","10","134"
"352","eigen","10","10","120"
"354","eigen","10","10","118"
"355","eigen","10","10","120"
"353","eigen","10","10","135"
"356","eigen","10","10","125"
"359","eigen","10","10","124"
"358","eigen","10","10","127"
"357","eigen","10","10","126"
"361","eigen","10","10","132"
"360","eigen","10","10","129"
"362","eigen","10","10","121"
"363","eigen","10","10","121"
"364","eigen","10","10","127"
"368","eigen","10","10","126"
"365","eigen","10","10","119"
"367","eigen","10","10","120"
"366","eigen","10","10","119"
"369","eigen","10","10","121"
"370","eigen","10","10","108"
"373","eigen","10","10","117"
"371","eigen","10","10","128"
"374","eigen","10","10","121"
"372","eigen","10","10","136"
"376","eigen","10","10","120"
"375","eigen","10","10","128"
"377","eigen","10","10","118"
"378","eigen","10","10","123"
"380","eigen","10","10","125"
"381","eigen","10","10","114"
"382","eigen","10","10","116"
"379","eigen","10","10","129"
"383","eigen","10","10","111"
"384","eigen","10","10","103"
"385","eigen","10","10","114"
"386","eigen","10","10","125"
"387","eigen","10","10","120"
"390","eigen","10","10","130"
"388","eigen","10","10","142"
"391","eigen","10","10","124"
"392","eigen","10","10","126"
"389","eigen","10","10","139"
"393","eigen","10","10","118"
"394","eigen","10","10","121"
"396","eigen","10","10","118"
"397","eigen","10","10","120"
"395","eigen","10","10","131"
"398","eigen","10","10","131"
"399","eigen","10","10","128"
"400","eigen","10","10","134"
"402","eigen","10","10","127"
"401","eigen","10","10","125"
"403","eigen","10","10","131"
"404","eigen","10","10","129"
"406","eigen","10","10","126"
"405","eigen","10","10","130"
"407","eigen","10","10","140"
"411","eigen","10","10","117"
"408","eigen","10","10","127"
"412","eigen","10","10","129"
"409","eigen","10","10","128"
"413","eigen","10","10","120"
"410","eigen","10","10","121"
"415","eigen","10","10","116"
"414","eigen","10","10","135"
"416","eigen","10","10","119"
"418","eigen","10","10","137"
"417","eigen","10","10","108"
"421","eigen","10","10","125"
"420","eigen","10","10","117"
"419","eigen","10","10","124"
"422","eigen","10","10","123"
"423","eigen","10","10","124"
"425","eigen","10","10","120"
"424","eigen","10","10","130"
"426","eigen","10","10","137"
"429","eigen","10","10","115"
"428","eigen","10","10","130"
"427","eigen","10","10","118"
"430","eigen","10","10","125"
"431","eigen","10","10","121"
"432","eigen","10","10","117"
"433","eigen","10","10","127"
"434","eigen","10","10","117"
"436","eigen","10","10","125"
"435","eigen","10","10","140"
"438","eigen","10","10","125"
"437","eigen","10","10","114"
"439","eigen","10","10","133"
"440","eigen","10","10","114"
"441","eigen","10","10","134"
"443","eigen","10","10","121"
"442","eigen","10","10","137"
"444","eigen","10","10","120"
"445","eigen","10","10","122"
"446","eigen","10","10","125"
"447","eigen","10","10","129"
"448","eigen","10","10","112"
"450","eigen","10","10","122"
"452","eigen","10","10","126"
"449","eigen","10","10","121"
"453","eigen","10","10","118"
"454","eigen","10","10","143"
"451","eigen","10","10","118"
"456","eigen","10","10","118"
"455","eigen","10","10","135"
"457","eigen","10","10","135"
"458","eigen","10","10","144"
"459","eigen","10","10","123"
"460","eigen","10","10","127"
"463","eigen","10","10","126"
"461","eigen","10","10","127"
"462","eigen","10","10","129"
"464","eigen","10","10","114"
"466","eigen","10","10","131"
"465","eigen","10","10","129"
"467","eigen","10","10","123"
"468","eigen","10","10","131"
"470","eigen","10","10","129"
"469","eigen","10","10","136"
"472","eigen","10","10","111"
"471","eigen","10","10","115"
"474","eigen","10","10","130"
"473","eigen","10","10","130"
"475","eigen","10","10","119"
"476","eigen","10","10","134"
"479","eigen","10","10","140"
"478","eigen","10","10","118"
"477","eigen","10","10","121"
"481","eigen","10","10","130"
"480","eigen","10","10","120"
"482","eigen","10","10","129"
"483","eigen","10","10","127"
"485","eigen","10","10","135"
"484","eigen","10","10","126"
"486","eigen","10","10","137"
"488","eigen","10","10","123"
"487","eigen","10","10","115"
"489","eigen","10","10","137"
"490","eigen","10","10","134"
"491","eigen","10","10","118"
"494","eigen","10","10","128"
"493","eigen","10","10","131"
"492","eigen","10","10","116"
"495","eigen","10","10","128"
"496","eigen","10","10","138"
"498","eigen","10","10","131"
"499","eigen","10","10","137"
"497","eigen","10","10","133"
"503","eigen","10","10","117"
"502","eigen","10","10","125"
"501","eigen","10","10","127"
"500","eigen","10","10","118"
"504","eigen","10","10","128"
"505","eigen","10","10","115"
"506","eigen","10","10","131"
"508","eigen","10","10","115"
"507","eigen","10","10","126"
"510","eigen","10","10","115"
"511","eigen","10","10","120"
"509","eigen","10","10","132"
"512","eigen","10","10","126"
"513","eigen","10","10","127"
"514","eigen","10","10","126"
"515","eigen","10","10","109"
"516","eigen","10","10","127"
"517","eigen","10","10","132"
"518","eigen","10","10","127"
"519","eigen","10","10","131"
"520","eigen","10","10","122"
"521","eigen","10","10","130"
"522","eigen","10","10","132"
"523","eigen","10","10","128"
"524","eigen","10","10","124"
"525","eigen","10","10","127"
"526","eigen","10","10","129"
"527","eigen","10","10","122"
"529","eigen","10","10","130"
"528","eigen","10","10","113"
"530","eigen","10","10","133"
"531","eigen","10","10","122"
"533","eigen","10","10","122"
"534","eigen","10","10","115"
"535","eigen","10","10","121"
"532","eigen","10","10","136"
"536","eigen","10","10","132"
"538","eigen","10","10","137"
"537","eigen","10","10","120"
"539","eigen","10","10","138"
"540","eigen","10","10","123"
"541","eigen","10","10","116"
"542","eigen","10","10","126"
"544","eigen","10","10","118"
"543","eigen","10","10","134"
"545","eigen","10","10","126"
"547","eigen","10","10","125"
"548","eigen","10","10","124"
"546","eigen","10","10","125"
"550","eigen","10","10","118"
"549","eigen","10","10","124"
"551","eigen","10","10","128"
"553","eigen","10","10","130"
"552","eigen","10","10","121"
"554","eigen","10","10","113"
"555","eigen","10","10","118"
"557","eigen","10","10","116"
"556","eigen","10","10","126"
"558","eigen","10","10","120"
"559","eigen","10","10","129"
"560","eigen","10","10","131"
"562","eigen","10","10","127"
"561","eigen","10","10","119"
"563","eigen","10","10","136"
"565","eigen","10","10","125"
"564","eigen","10","10","113"
"566","eigen","10","10","125"
"567","eigen","10","10","114"
"568","eigen","10","10","123"
"569","eigen","10","10","129"
"570","eigen","10","10","118"
"571","eigen","10","10","112"
"572","eigen","10","10","127"
"574","eigen","10","10","127"
"573","eigen","10","10","123"
"575","eigen","10","10","128"
"576","eigen","10","10","117"
"577","eigen","10","10","142"
"579","eigen","10","10","113"
"578","eigen","10","10","119"
"581","eigen","10","10","130"
"580","eigen","10","10","124"
"583","eigen","10","10","123"
"582","eigen","10","10","127"
"584","eigen","10","10","125"
"585","eigen","10","10","119"
"586","eigen","10","10","114"
"588","eigen","10","10","135"
"587","eigen","10","10","126"
"591","eigen","10","10","137"
"589","eigen","10","10","124"
"590","eigen","10","10","122"
"592","eigen","10","10","123"
"593","eigen","10","10","109"
"595","eigen","10","10","128"
"596","eigen","10","10","128"
"594","eigen","10","10","124"
"597","eigen","10","10","122"
"599","eigen","10","10","103"
"598","eigen","10","10","126"
"600","eigen","10","10","134"
"601","eigen","10","10","118"
"602","eigen","10","10","116"
"603","eigen","10","10","125"
"604","eigen","10","10","127"
"605","eigen","10","10","132"
"606","eigen","10","10","133"
"608","eigen","10","10","126"
"607","eigen","10","10","133"
"609","eigen","10","10","126"
"610","eigen","10","10","126"
"612","eigen","10","10","134"
"611","eigen","10","10","132"
"613","eigen","10","10","136"
"614","eigen","10","10","125"
"616","eigen","10","10","130"
"617","eigen","10","10","139"
"615","eigen","10","10","124"
"618","eigen","10","10","132"
"619","eigen","10","10","120"
"620","eigen","10","10","128"
"621","eigen","10","10","118"
"624","eigen","10","10","127"
"623","eigen","10","10","112"
"622","eigen","10","10","130"
"625","eigen","10","10","120"
"626","eigen","10","10","125"
"628","eigen","10","10","122"
"629","eigen","10","10","128"
"627","eigen","10","10","111"
"630","eigen","10","10","134"
"632","eigen","10","10","127"
"633","eigen","10","10","123"
"631","eigen","10","10","108"
"634","eigen","10","10","111"
"636","eigen","10","10","132"
"635","eigen","10","10","126"
"638","eigen","10","10","130"
"637","eigen","10","10","128"
"641","eigen","10","10","122"
"639","eigen","10","10","125"
"640","eigen","10","10","139"
"642","eigen","10","10","121"
"643","eigen","10","10","125"
"644","eigen","10","10","132"
"645","eigen","10","10","134"
"646","eigen","10","10","135"
"649","eigen","10","10","124"
"647","eigen","10","10","134"
"648","eigen","10","10","126"
"650","eigen","10","10","121"
"651","eigen","10","10","128"
"652","eigen","10","10","131"
"653","eigen","10","10","122"
"654","eigen","10","10","120"
"655","eigen","10","10","119"
"656","eigen","10","10","133"
"657","eigen","10","10","105"
"658","eigen","10","10","130"
"659","eigen","10","10","135"
"661","eigen","10","10","131"
"660","eigen","10","10","130"
"663","eigen","10","10","132"
"662","eigen","10","10","125"
"664","eigen","10","10","110"
"665","eigen","10","10","132"
"666","eigen","10","10","123"
"667","eigen","10","10","125"
"668","eigen","10","10","124"
"670","eigen","10","10","102"
"669","eigen","10","10","125"
"671","eigen","10","10","115"
"673","eigen","10","10","111"
"672","eigen","10","10","131"
"674","eigen","10","10","130"
"676","eigen","10","10","121"
"675","eigen","10","10","102"
"677","eigen","10","10","123"
"679","eigen","10","10","114"
"678","eigen","10","10","133"
"680","eigen","10","10","116"
"681","eigen","10","10","138"
"682","eigen","10","10","124"
"684","eigen","10","10","127"
"683","eigen","10","10","123"
"686","eigen","10","10","133"
"685","eigen","10","10","133"
"688","eigen","10","10","133"
"687","eigen","10","10","125"
"689","eigen","10","10","109"
"690","eigen","10","10","140"
"692","eigen","10","10","126"
"691","eigen","10","10","113"
"694","eigen","10","10","123"
"693","eigen","10","10","118"
"695","eigen","10","10","122"
"696","eigen","10","10","109"
"699","eigen","10","10","122"
"697","eigen","10","10","129"
"698","eigen","10","10","126"
"700","eigen","10","10","126"
"701","eigen","10","10","134"
"702","eigen","10","10","127"
"704","eigen","10","10","118"
"703","eigen","10","10","136"
"707","eigen","10","10","128"
"705","eigen","10","10","112"
"706","eigen","10","10","109"
"709","eigen","10","10","124"
"710","eigen","10","10","135"
"708","eigen","10","10","111"
"712","eigen","10","10","119"
"713","eigen","10","10","135"
"711","eigen","10","10","124"
"714","eigen","10","10","130"
"715","eigen","10","10","125"
"717","eigen","10","10","126"
"716","eigen","10","10","130"
"718","eigen","10","10","130"
"719","eigen","10","10","128"
"720","eigen","10","10","128"
"721","eigen","10","10","119"
"722","eigen","10","10","134"
"723","eigen","10","10","105"
"724","eigen","10","10","117"
"726","eigen","10","10","116"
"725","eigen","10","10","120"
"727","eigen","10","10","126"
"728","eigen","10","10","136"
